participant	antecedent_verb	antecedent_polarity	target	control	antecedent_frame	consequent_verb	consequent_embedded_tense	antecedent_text	consequent_text	response_likelihood	response_difficulty	sanity
7	commence	negative	subject	subject	NP V VPing	want	past	A didn't commence doing C.	How likely is it that A wanted to have done C?	0.08	0.19	4
7	denounce	positive	subject	subject	NP V VPing	intend	future	A denounced doing C.	How likely is it that A intended to do C?	0.08	0.12	4
7	think	positive	object	object	NP V for NP to VP	want	future	A thought for B to do C.	How likely is it that B wanted to do C?	0.59	0.53	4
7	procrastinate	negative	subject	subject	NP V to VP[+eventive]	want	future	A didn't procrastinate to do C.	How likely is it that A wanted to do C?	0.7	0.34	4
7	struggle	positive	subject	object	NP V for NP to VP	want	future	A struggled for B to do C.	How likely is it that A wanted B to do C?	0.54	0.47	4
7	guarantee	negative	subject	subject	NP V VPing	believe	future	A didn't guarantee doing C.	How likely is it that A believed that A would do C?	0.14	0.41	4
7	call	positive	object	object	NP V NP to VP[+eventive]	intend	future	A called B to do C.	How likely is it that B intended to do C?	0.88	0.14	4
7	worry	positive	subject	subject	NP be V to VP[-eventive]	intend	future	A was worried to have C.	How likely is it that A intended to have C?	0.39	0.64	4
7	reminisce	positive	subject	subject	NP V VPing	believe	past	A reminisced doing C.	How likely is it that A believed that A had done C?	0.64	0.88	4
7	narrate	negative	subject	subject	NP V VPing	believe	future	A didn't narrate doing C.	How likely is it that A believed that A would do C?	0.27	0.43	4
7	protest	negative	subject	subject	NP V VPing	intend	future	A didn't protest doing C.	How likely is it that A intended to do C?	0.62	0.68	4
7	outrage	positive	subject	subject	NP be V to VP[+eventive]	intend	future	A was outraged to do C.	How likely is it that A intended to do C?	0.13	0.3	4
7	ordain	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was ordained to do C.	How likely is it that A believed that A would do C?	0.89	0.05	4
7	infer	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was inferred to have C.	How likely is it that A wanted to have had C?	0.68	0.19	4
7	testify	negative	subject	subject	NP V VPing	want	future	A didn't testify doing C.	How likely is it that A wanted to do C?	0.18	0.06	4
7	grieve	positive	subject	subject	NP V VPing	believe	past	A grieved doing C.	How likely is it that A believed that A had done C?	0.34	0.43	4
7	agree	positive	object	object	NP V to NP to VP[+eventive]	believe	future	A agreed to B to do C.	How likely is it that B believed that B would do C?	0.74	0.26	4
7	glorify	negative	subject	subject	NP V VPing	intend	past	A didn't glorify doing C.	How likely is it that A intended to have done C?	0.59	0.66	4
7	test	negative	subject	subject	NP be V to VP[+eventive]	want	future	A wasn't tested to do C.	How likely is it that A wanted to do C?	0.1	0.12	4
7	point_out	negative	subject	object	NP V for NP to VP	want	future	A didn't point out for B to do C.	How likely is it that A wanted B to do C?	0.0	0.0	4
7	shout	positive	subject	object	NP V to NP to VP[+eventive]	intend	future	A shouted to B to do C.	How likely is it that A intended for B to do C?	1.0	0.0	4
7	assure	positive	object	object	NP V NP to VP[+eventive]	intend	future	A assured B to do C.	How likely is it that B intended to do C?	0.79	0.08	4
7	elect	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't elect to do C.	How likely is it that A believed that A would do C?	0.0	0.0	4
7	change	negative	object	object	NP V for NP to VP	believe	future	A didn't change for B to do C.	How likely is it that B believed that B would do C?	0.11	0.12	4
7	find	positive	subject	object	NP V NP to VP[+eventive]	want	future	A found B to do C.	How likely is it that A wanted B to do C?	0.93	0.03	4
7	authorize	positive	subject	subject	NP V VPing	want	future	A authorized doing C.	How likely is it that A wanted to do C?	0.92	0.1	4
7	disprove	positive	subject	subject	NP V VPing	intend	future	A disproved doing C.	How likely is it that A intended to do C?	0.07	0.06	4
7	impel	positive	subject	object	NP V NP to VP[+eventive]	want	future	A impelled B to do C.	How likely is it that A wanted B to do C?	0.93	0.09	4
7	remark	positive	subject	subject	NP V VPing	intend	future	A remarked doing C.	How likely is it that A intended to do C?	0.74	0.15	4
7	corroborate	positive	subject	subject	NP V to VP[+eventive]	believe	future	A corroborated to do C.	How likely is it that A believed that A would do C?	0.91	0.06	4
7	radio	negative	object	object	NP V NP to VP[+eventive]	intend	past	A didn't radio B to do C.	How likely is it that B intended to have done C?	0.0	0.0	4
7	argue	positive	object	object	NP V for NP to VP	want	future	A argued for B to do C.	How likely is it that B wanted to do C?	0.95	0.06	4
7	oppose	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was opposed to do C.	How likely is it that A believed that A would do C?	0.16	0.29	4
7	sign	positive	object	object	NP V NP to VP[+eventive]	intend	future	A signed B to do C.	How likely is it that B intended to do C?	0.85	0.13	4
7	reassert	positive	subject	subject	NP V VPing	intend	future	A reasserted doing C.	How likely is it that A intended to do C?	0.63	0.16	4
8	agree	positive	object	object	NP V to NP to VP[+eventive]	believe	future	A agreed to B to do C.	How likely is it that B believed that B would do C?	0.7	0.6	0
8	outrage	positive	subject	subject	NP be V to VP[+eventive]	intend	future	A was outraged to do C.	How likely is it that A intended to do C?	0.65	0.37	0
8	remark	positive	subject	subject	NP V VPing	intend	future	A remarked doing C.	How likely is it that A intended to do C?	0.7	0.67	0
8	commence	negative	subject	subject	NP V VPing	want	past	A didn't commence doing C.	How likely is it that A wanted to have done C?	0.61	0.29	0
8	testify	negative	subject	subject	NP V VPing	want	future	A didn't testify doing C.	How likely is it that A wanted to do C?	0.72	0.32	0
8	sign	positive	object	object	NP V NP to VP[+eventive]	intend	future	A signed B to do C.	How likely is it that B intended to do C?	0.71	0.35	0
8	terrorize	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A terrorized B to do C.	How likely is it that A believed that B would do C?	0.64	0.66	0
8	brief	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A briefed B to do C.	How likely is it that A believed that B would do C?	0.38	0.38	0
8	authorize	positive	subject	subject	NP V VPing	want	future	A authorized doing C.	How likely is it that A wanted to do C?	0.67	0.35	0
8	reassert	positive	subject	subject	NP V VPing	intend	future	A reasserted doing C.	How likely is it that A intended to do C?	0.7	0.59	0
8	narrate	negative	subject	subject	NP V VPing	believe	future	A didn't narrate doing C.	How likely is it that A believed that A would do C?	0.79	0.31	0
8	calibrate	positive	subject	object	NP V for NP to VP	intend	future	A calibrated for B to do C.	How likely is it that A intended for B to do C?	0.63	0.36	0
8	oppose	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was opposed to do C.	How likely is it that A believed that A would do C?	0.68	0.33	0
8	disprove	positive	subject	subject	NP V VPing	intend	future	A disproved doing C.	How likely is it that A intended to do C?	0.67	0.37	0
8	request	negative	subject	object	NP V NP to VP[+eventive]	intend	future	A didn't request B to do C.	How likely is it that A intended for B to do C?	0.67	0.38	0
8	infer	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was inferred to have C.	How likely is it that A wanted to have had C?	0.64	0.36	0
8	strain	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't strain to do C.	How likely is it that A believed that A would do C?	0.66	0.38	0
8	reminisce	positive	subject	subject	NP V VPing	believe	past	A reminisced doing C.	How likely is it that A believed that A had done C?	0.68	0.35	0
8	change	negative	object	object	NP V for NP to VP	believe	future	A didn't change for B to do C.	How likely is it that B believed that B would do C?	0.5	0.64	0
8	detest	positive	object	object	NP V for NP to VP	believe	future	A detested for B to do C.	How likely is it that B believed that B would do C?	0.67	0.32	0
8	think	positive	object	object	NP V for NP to VP	want	future	A thought for B to do C.	How likely is it that B wanted to do C?	0.76	0.32	0
8	impel	positive	subject	object	NP V NP to VP[+eventive]	want	future	A impelled B to do C.	How likely is it that A wanted B to do C?	0.69	0.31	0
8	grieve	positive	subject	subject	NP V VPing	believe	past	A grieved doing C.	How likely is it that A believed that A had done C?	0.7	0.76	0
8	fantasize	positive	subject	object	NP V for NP to VP	want	future	A fantasized for B to do C.	How likely is it that A wanted B to do C?	0.36	0.65	0
8	protest	negative	subject	subject	NP V VPing	intend	future	A didn't protest doing C.	How likely is it that A intended to do C?	0.69	0.35	0
8	call	positive	object	object	NP V NP to VP[+eventive]	intend	future	A called B to do C.	How likely is it that B intended to do C?	0.64	0.33	0
8	assure	positive	object	object	NP V NP to VP[+eventive]	intend	future	A assured B to do C.	How likely is it that B intended to do C?	0.69	0.7	0
8	shout	positive	subject	object	NP V to NP to VP[+eventive]	intend	future	A shouted to B to do C.	How likely is it that A intended for B to do C?	0.61	0.35	0
8	elect	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't elect to do C.	How likely is it that A believed that A would do C?	0.65	0.6	0
8	point_out	negative	subject	object	NP V for NP to VP	want	future	A didn't point out for B to do C.	How likely is it that A wanted B to do C?	0.68	0.69	0
8	delight	positive	subject	object	NP V for NP to VP	want	future	A delighted for B to do C.	How likely is it that A wanted B to do C?	0.72	0.33	0
8	ordain	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was ordained to do C.	How likely is it that A believed that A would do C?	0.76	0.36	0
8	struggle	positive	subject	object	NP V for NP to VP	want	future	A struggled for B to do C.	How likely is it that A wanted B to do C?	0.74	0.32	0
8	procrastinate	negative	subject	subject	NP V to VP[+eventive]	want	future	A didn't procrastinate to do C.	How likely is it that A wanted to do C?	0.64	0.31	0
8	argue	positive	object	object	NP V for NP to VP	want	future	A argued for B to do C.	How likely is it that B wanted to do C?	0.77	0.33	0
8	corroborate	positive	subject	subject	NP V to VP[+eventive]	believe	future	A corroborated to do C.	How likely is it that A believed that A would do C?	0.72	0.39	0
8	find	positive	subject	object	NP V NP to VP[+eventive]	want	future	A found B to do C.	How likely is it that A wanted B to do C?	0.7	0.3	0
8	glorify	negative	subject	subject	NP V VPing	intend	past	A didn't glorify doing C.	How likely is it that A intended to have done C?	0.4	0.28	0
8	test	negative	subject	subject	NP be V to VP[+eventive]	want	future	A wasn't tested to do C.	How likely is it that A wanted to do C?	0.73	0.38	0
8	radio	negative	object	object	NP V NP to VP[+eventive]	intend	past	A didn't radio B to do C.	How likely is it that B intended to have done C?	0.67	0.42	0
8	enlist	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A enlisted B to do C.	How likely is it that A believed that B would do C?	0.7	0.36	0
8	denounce	positive	subject	subject	NP V VPing	intend	future	A denounced doing C.	How likely is it that A intended to do C?	0.69	0.35	0
8	plan	positive	object	object	NP V for NP to VP	want	future	A planned for B to do C.	How likely is it that B wanted to do C?	0.4	0.43	0
8	justify	negative	subject	subject	NP V to VP[-eventive]	believe	future	A didn't justify to have C.	How likely is it that A believed that A would have C?	0.67	0.35	0
8	disgrace	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was disgraced to have C.	How likely is it that A wanted to have had C?	0.37	0.4	0
8	preach	positive	subject	object	NP V for NP to VP	intend	future	A preached for B to do C.	How likely is it that A intended for B to do C?	0.74	0.32	0
8	guarantee	negative	subject	subject	NP V VPing	believe	future	A didn't guarantee doing C.	How likely is it that A believed that A would do C?	0.65	0.6	0
8	worry	positive	subject	subject	NP be V to VP[-eventive]	intend	future	A was worried to have C.	How likely is it that A intended to have C?	0.7	0.61	0
11	think	positive	object	object	NP V for NP to VP	want	future	A thought for B to do C.	How likely is it that B wanted to do C?	0.36	0.1	4
11	disprove	positive	subject	subject	NP V VPing	intend	future	A disproved doing C.	How likely is it that A intended to do C?	0.2	0.09	4
11	shout	positive	subject	object	NP V to NP to VP[+eventive]	intend	future	A shouted to B to do C.	How likely is it that A intended for B to do C?	0.99	0.0	4
11	disgrace	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was disgraced to have C.	How likely is it that A wanted to have had C?	0.01	0.03	4
11	assure	positive	object	object	NP V NP to VP[+eventive]	intend	future	A assured B to do C.	How likely is it that B intended to do C?	0.68	0.12	4
11	ordain	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was ordained to do C.	How likely is it that A believed that A would do C?	0.8	0.1	4
11	agree	positive	object	object	NP V to NP to VP[+eventive]	believe	future	A agreed to B to do C.	How likely is it that B believed that B would do C?	0.68	0.39	4
11	worry	positive	subject	subject	NP be V to VP[-eventive]	intend	future	A was worried to have C.	How likely is it that A intended to have C?	0.21	0.29	4
11	call	positive	object	object	NP V NP to VP[+eventive]	intend	future	A called B to do C.	How likely is it that B intended to do C?	0.38	0.21	4
11	detest	positive	object	object	NP V for NP to VP	believe	future	A detested for B to do C.	How likely is it that B believed that B would do C?	0.29	0.09	4
11	justify	negative	subject	subject	NP V to VP[-eventive]	believe	future	A didn't justify to have C.	How likely is it that A believed that A would have C?	0.11	0.03	4
11	test	negative	subject	subject	NP be V to VP[+eventive]	want	future	A wasn't tested to do C.	How likely is it that A wanted to do C?	0.08	0.04	4
11	find	positive	subject	object	NP V NP to VP[+eventive]	want	future	A found B to do C.	How likely is it that A wanted B to do C?	1.0	0.0	4
11	infer	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was inferred to have C.	How likely is it that A wanted to have had C?	0.5	0.71	4
11	impel	positive	subject	object	NP V NP to VP[+eventive]	want	future	A impelled B to do C.	How likely is it that A wanted B to do C?	1.0	0.0	4
11	protest	negative	subject	subject	NP V VPing	intend	future	A didn't protest doing C.	How likely is it that A intended to do C?	0.91	0.04	4
11	argue	positive	object	object	NP V for NP to VP	want	future	A argued for B to do C.	How likely is it that B wanted to do C?	0.32	0.1	4
11	commence	negative	subject	subject	NP V VPing	want	past	A didn't commence doing C.	How likely is it that A wanted to have done C?	0.05	0.04	4
11	preach	positive	subject	object	NP V for NP to VP	intend	future	A preached for B to do C.	How likely is it that A intended for B to do C?	1.0	0.0	4
11	corroborate	positive	subject	subject	NP V to VP[+eventive]	believe	future	A corroborated to do C.	How likely is it that A believed that A would do C?	0.9	0.0	4
11	authorize	positive	subject	subject	NP V VPing	want	future	A authorized doing C.	How likely is it that A wanted to do C?	1.0	0.0	4
11	fantasize	positive	subject	object	NP V for NP to VP	want	future	A fantasized for B to do C.	How likely is it that A wanted B to do C?	1.0	0.0	4
11	remark	positive	subject	subject	NP V VPing	intend	future	A remarked doing C.	How likely is it that A intended to do C?	0.92	0.0	4
11	terrorize	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A terrorized B to do C.	How likely is it that A believed that B would do C?	0.12	0.0	4
11	oppose	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was opposed to do C.	How likely is it that A believed that A would do C?	0.14	0.03	4
11	outrage	positive	subject	subject	NP be V to VP[+eventive]	intend	future	A was outraged to do C.	How likely is it that A intended to do C?	0.17	0.01	4
11	reminisce	positive	subject	subject	NP V VPing	believe	past	A reminisced doing C.	How likely is it that A believed that A had done C?	1.0	0.0	4
11	reassert	positive	subject	subject	NP V VPing	intend	future	A reasserted doing C.	How likely is it that A intended to do C?	1.0	0.0	4
11	brief	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A briefed B to do C.	How likely is it that A believed that B would do C?	1.0	0.0	4
11	enlist	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A enlisted B to do C.	How likely is it that A believed that B would do C?	1.0	0.0	4
11	point_out	negative	subject	object	NP V for NP to VP	want	future	A didn't point out for B to do C.	How likely is it that A wanted B to do C?	0.14	0.05	4
11	sign	positive	object	object	NP V NP to VP[+eventive]	intend	future	A signed B to do C.	How likely is it that B intended to do C?	0.28	0.07	4
11	radio	negative	object	object	NP V NP to VP[+eventive]	intend	past	A didn't radio B to do C.	How likely is it that B intended to have done C?	0.22	0.06	4
11	strain	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't strain to do C.	How likely is it that A believed that A would do C?	1.0	0.01	4
11	calibrate	positive	subject	object	NP V for NP to VP	intend	future	A calibrated for B to do C.	How likely is it that A intended for B to do C?	1.0	0.0	4
11	grieve	positive	subject	subject	NP V VPing	believe	past	A grieved doing C.	How likely is it that A believed that A had done C?	0.12	0.04	4
11	plan	positive	object	object	NP V for NP to VP	want	future	A planned for B to do C.	How likely is it that B wanted to do C?	0.34	0.02	4
11	struggle	positive	subject	object	NP V for NP to VP	want	future	A struggled for B to do C.	How likely is it that A wanted B to do C?	0.0	0.0	4
11	glorify	negative	subject	subject	NP V VPing	intend	past	A didn't glorify doing C.	How likely is it that A intended to have done C?	0.16	0.06	4
11	guarantee	negative	subject	subject	NP V VPing	believe	future	A didn't guarantee doing C.	How likely is it that A believed that A would do C?	0.04	0.02	4
11	request	negative	subject	object	NP V NP to VP[+eventive]	intend	future	A didn't request B to do C.	How likely is it that A intended for B to do C?	0.04	0.03	4
11	elect	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't elect to do C.	How likely is it that A believed that A would do C?	0.0	0.0	4
11	delight	positive	subject	object	NP V for NP to VP	want	future	A delighted for B to do C.	How likely is it that A wanted B to do C?	1.0	0.0	4
11	change	negative	object	object	NP V for NP to VP	believe	future	A didn't change for B to do C.	How likely is it that B believed that B would do C?	0.24	0.0	4
11	testify	negative	subject	subject	NP V VPing	want	future	A didn't testify doing C.	How likely is it that A wanted to do C?	0.17	0.05	4
11	narrate	negative	subject	subject	NP V VPing	believe	future	A didn't narrate doing C.	How likely is it that A believed that A would do C?	0.28	0.04	4
11	procrastinate	negative	subject	subject	NP V to VP[+eventive]	want	future	A didn't procrastinate to do C.	How likely is it that A wanted to do C?	1.0	0.0	4
11	denounce	positive	subject	subject	NP V VPing	intend	future	A denounced doing C.	How likely is it that A intended to do C?	0.0	0.0	4
40	change	negative	object	object	NP V for NP to VP	believe	future	A didn't change for B to do C.	How likely is it that B believed that B would do C?	0.26	0.89	4
40	narrate	negative	subject	subject	NP V VPing	believe	future	A didn't narrate doing C.	How likely is it that A believed that A would do C?	0.61	1.0	4
40	reminisce	positive	subject	subject	NP V VPing	believe	past	A reminisced doing C.	How likely is it that A believed that A had done C?	1.0	0.05	4
40	calibrate	positive	subject	object	NP V for NP to VP	intend	future	A calibrated for B to do C.	How likely is it that A intended for B to do C?	0.79	0.3	4
40	enlist	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A enlisted B to do C.	How likely is it that A believed that B would do C?	0.73	0.36	4
40	protest	negative	subject	subject	NP V VPing	intend	future	A didn't protest doing C.	How likely is it that A intended to do C?	0.79	0.31	4
40	remark	positive	subject	subject	NP V VPing	intend	future	A remarked doing C.	How likely is it that A intended to do C?	0.81	0.21	4
40	infer	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was inferred to have C.	How likely is it that A wanted to have had C?	0.54	0.65	4
40	request	negative	subject	object	NP V NP to VP[+eventive]	intend	future	A didn't request B to do C.	How likely is it that A intended for B to do C?	0.27	0.56	4
40	outrage	positive	subject	subject	NP be V to VP[+eventive]	intend	future	A was outraged to do C.	How likely is it that A intended to do C?	0.07	0.12	4
40	reassert	positive	subject	subject	NP V VPing	intend	future	A reasserted doing C.	How likely is it that A intended to do C?	0.89	0.18	4
40	preach	positive	subject	object	NP V for NP to VP	intend	future	A preached for B to do C.	How likely is it that A intended for B to do C?	0.96	0.08	4
40	impel	positive	subject	object	NP V NP to VP[+eventive]	want	future	A impelled B to do C.	How likely is it that A wanted B to do C?	0.95	0.06	4
40	detest	positive	object	object	NP V for NP to VP	believe	future	A detested for B to do C.	How likely is it that B believed that B would do C?	0.65	0.62	4
40	disgrace	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was disgraced to have C.	How likely is it that A wanted to have had C?	0.0	0.0	4
40	guarantee	negative	subject	subject	NP V VPing	believe	future	A didn't guarantee doing C.	How likely is it that A believed that A would do C?	0.26	0.3	4
40	worry	positive	subject	subject	NP be V to VP[-eventive]	intend	future	A was worried to have C.	How likely is it that A intended to have C?	0.16	0.17	4
40	strain	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't strain to do C.	How likely is it that A believed that A would do C?	0.3	0.22	4
40	assure	positive	object	object	NP V NP to VP[+eventive]	intend	future	A assured B to do C.	How likely is it that B intended to do C?	0.47	0.65	4
40	delight	positive	subject	object	NP V for NP to VP	want	future	A delighted for B to do C.	How likely is it that A wanted B to do C?	0.9	0.1	4
40	grieve	positive	subject	subject	NP V VPing	believe	past	A grieved doing C.	How likely is it that A believed that A had done C?	0.88	0.15	4
40	struggle	positive	subject	object	NP V for NP to VP	want	future	A struggled for B to do C.	How likely is it that A wanted B to do C?	0.26	0.46	4
40	argue	positive	object	object	NP V for NP to VP	want	future	A argued for B to do C.	How likely is it that B wanted to do C?	0.92	0.16	4
40	point_out	negative	subject	object	NP V for NP to VP	want	future	A didn't point out for B to do C.	How likely is it that A wanted B to do C?	0.4	0.55	4
40	elect	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't elect to do C.	How likely is it that A believed that A would do C?	0.34	0.49	4
40	find	positive	subject	object	NP V NP to VP[+eventive]	want	future	A found B to do C.	How likely is it that A wanted B to do C?	0.84	0.16	4
40	glorify	negative	subject	subject	NP V VPing	intend	past	A didn't glorify doing C.	How likely is it that A intended to have done C?	0.62	0.46	4
40	test	negative	subject	subject	NP be V to VP[+eventive]	want	future	A wasn't tested to do C.	How likely is it that A wanted to do C?	0.47	0.88	4
40	terrorize	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A terrorized B to do C.	How likely is it that A believed that B would do C?	0.1	0.13	4
40	radio	negative	object	object	NP V NP to VP[+eventive]	intend	past	A didn't radio B to do C.	How likely is it that B intended to have done C?	0.69	0.59	4
40	procrastinate	negative	subject	subject	NP V to VP[+eventive]	want	future	A didn't procrastinate to do C.	How likely is it that A wanted to do C?	0.9	0.16	4
40	sign	positive	object	object	NP V NP to VP[+eventive]	intend	future	A signed B to do C.	How likely is it that B intended to do C?	0.59	0.47	4
40	fantasize	positive	subject	object	NP V for NP to VP	want	future	A fantasized for B to do C.	How likely is it that A wanted B to do C?	0.95	0.1	4
40	plan	positive	object	object	NP V for NP to VP	want	future	A planned for B to do C.	How likely is it that B wanted to do C?	0.74	0.32	4
40	brief	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A briefed B to do C.	How likely is it that A believed that B would do C?	0.84	0.22	4
40	call	positive	object	object	NP V NP to VP[+eventive]	intend	future	A called B to do C.	How likely is it that B intended to do C?	0.54	0.73	4
40	agree	positive	object	object	NP V to NP to VP[+eventive]	believe	future	A agreed to B to do C.	How likely is it that B believed that B would do C?	0.62	0.63	4
40	shout	positive	subject	object	NP V to NP to VP[+eventive]	intend	future	A shouted to B to do C.	How likely is it that A intended for B to do C?	0.93	0.08	4
40	justify	negative	subject	subject	NP V to VP[-eventive]	believe	future	A didn't justify to have C.	How likely is it that A believed that A would have C?	0.45	0.76	4
40	disprove	positive	subject	subject	NP V VPing	intend	future	A disproved doing C.	How likely is it that A intended to do C?	0.18	0.64	4
40	oppose	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was opposed to do C.	How likely is it that A believed that A would do C?	0.31	0.44	4
40	authorize	positive	subject	subject	NP V VPing	want	future	A authorized doing C.	How likely is it that A wanted to do C?	0.72	0.35	4
40	testify	negative	subject	subject	NP V VPing	want	future	A didn't testify doing C.	How likely is it that A wanted to do C?	0.3	0.56	4
40	corroborate	positive	subject	subject	NP V to VP[+eventive]	believe	future	A corroborated to do C.	How likely is it that A believed that A would do C?	0.91	0.14	4
40	commence	negative	subject	subject	NP V VPing	want	past	A didn't commence doing C.	How likely is it that A wanted to have done C?	0.22	0.39	4
40	think	positive	object	object	NP V for NP to VP	want	future	A thought for B to do C.	How likely is it that B wanted to do C?	0.53	0.66	4
40	denounce	positive	subject	subject	NP V VPing	intend	future	A denounced doing C.	How likely is it that A intended to do C?	0.14	0.22	4
40	ordain	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was ordained to do C.	How likely is it that A believed that A would do C?	0.79	0.47	4
42	argue	positive	object	object	NP V for NP to VP	want	future	A argued for B to do C.	How likely is it that B wanted to do C?	0.5	0.67	4
42	sign	positive	object	object	NP V NP to VP[+eventive]	intend	future	A signed B to do C.	How likely is it that B intended to do C?	0.95	0.05	4
42	infer	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was inferred to have C.	How likely is it that A wanted to have had C?	0.62	0.4	4
42	guarantee	negative	subject	subject	NP V VPing	believe	future	A didn't guarantee doing C.	How likely is it that A believed that A would do C?	0.5	0.55	4
42	preach	positive	subject	object	NP V for NP to VP	intend	future	A preached for B to do C.	How likely is it that A intended for B to do C?	0.72	0.19	4
42	delight	positive	subject	object	NP V for NP to VP	want	future	A delighted for B to do C.	How likely is it that A wanted B to do C?	0.55	0.61	4
42	plan	positive	object	object	NP V for NP to VP	want	future	A planned for B to do C.	How likely is it that B wanted to do C?	0.74	0.19	4
42	oppose	positive	subject	subject	NP be V to VP[+eventive]	believe	future	A was opposed to do C.	How likely is it that A believed that A would do C?	0.21	0.42	4
42	outrage	positive	subject	subject	NP be V to VP[+eventive]	intend	future	A was outraged to do C.	How likely is it that A intended to do C?	0.1	0.15	4
42	justify	negative	subject	subject	NP V to VP[-eventive]	believe	future	A didn't justify to have C.	How likely is it that A believed that A would have C?	0.49	0.51	4
42	calibrate	positive	subject	object	NP V for NP to VP	intend	future	A calibrated for B to do C.	How likely is it that A intended for B to do C?	0.52	0.61	4
42	shout	positive	subject	object	NP V to NP to VP[+eventive]	intend	future	A shouted to B to do C.	How likely is it that A intended for B to do C?	0.94	0.03	4
42	impel	positive	subject	object	NP V NP to VP[+eventive]	want	future	A impelled B to do C.	How likely is it that A wanted B to do C?	0.88	0.13	4
42	worry	positive	subject	subject	NP be V to VP[-eventive]	intend	future	A was worried to have C.	How likely is it that A intended to have C?	0.58	0.4	4
42	authorize	positive	subject	subject	NP V VPing	want	future	A authorized doing C.	How likely is it that A wanted to do C?	0.64	0.34	4
42	call	positive	object	object	NP V NP to VP[+eventive]	intend	future	A called B to do C.	How likely is it that B intended to do C?	0.38	0.59	4
42	request	negative	subject	object	NP V NP to VP[+eventive]	intend	future	A didn't request B to do C.	How likely is it that A intended for B to do C?	0.37	0.4	4
42	think	positive	object	object	NP V for NP to VP	want	future	A thought for B to do C.	How likely is it that B wanted to do C?	0.46	0.57	4
